Female,Male,Age,Height,Weight,Art,Gaming,Hacking,Internet Surfing,Learning,Music,Reading,Sports,Watching movies,An Giang,Binh Duong,Da Nang,Dong Nai,Dong Thap,Ha Noi,Hai Phong,Ho Chi Minh,Nha Trang,Phu Yen,Quang Nam,Tay Ninh,Vung Tau,ARC,BBA,BCE,BFA,CSE,ECE,MEN,Home with family,I live in both the dorm and at home,Rental apartment/house,University dormitory,Satisfaction with Courses,Quality of Teaching Methods,Manageable Study Workload,Adaptation to Teaching Style,Satisfaction with Campus Cleanliness,Internet/WiFi Quality,Canteen Satisfaction,Canteen Price Satisfaction,Study Space Satisfaction,Friendship Quality,Number of Clubs,International Student Interaction,Campus Social Events Satisfaction,Personal Growth,German Language Progress,Stress Management,Hours of Sleep,Exam Anxiety,"No, I wasn't aware","Yes, and I've used them","Yes, but I haven't used them",Tuition Satisfaction,Living Cost Management,Scholarship Satisfaction,Happiness
1,0,18,168.0,78.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.5,1,0,0,1,1,1,1,5
0,1,19,172.0,62.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,6.5,1,1,0,0,1,1,1,4
0,1,19,167.0,73.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.5,1,1,0,0,1,1,1,5
0,1,19,172.0,68.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,2,1,1,1,1,0,7.5,1,1,0,0,1,1,1,4
0,1,19,168.0,65.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,7.5,1,0,1,0,1,1,1,4
1,0,18,163.0,59.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,6.5,1,0,1,0,1,1,1,5
1,0,20,150.0,42.0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,6.5,1,0,0,1,1,0,1,3
0,1,20,170.0,67.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,5.5,1,0,0,1,1,1,1,3
0,1,20,162.0,52.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,7.5,1,1,0,0,1,1,1,4
0,1,19,175.0,56.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,7.5,1,1,0,0,1,1,1,4
